915,-0.03,-0.03,0.3666,0.3666,0.00,0.00,10
926,0.55,0.55,-0.2444,-0.2444,0.00,0.00,10
939,0.41,0.41,0.0000,0.0000,0.00,0.00,10
950,-0.04,-0.04,0.1222,0.1222,0.00,0.00,10
961,-0.09,-0.09,-0.1222,-0.1222,0.00,0.00,10
973,0.13,0.13,0.1222,0.1222,0.00,0.00,10
985,0.59,0.59,-0.2444,-0.2444,0.00,0.00,10
996,1.04,1.04,-0.1222,-0.1222,0.00,0.00,10
1008,0.47,0.47,0.1222,0.1222,0.00,0.00,10
1019,0.10,0.10,0.0000,0.0000,0.00,0.00,10
1031,0.12,0.12,0.0000,0.0000,0.00,0.00,10
1043,-0.00,-0.00,0.0000,0.0000,0.00,0.00,10
1054,0.46,0.46,0.1222,0.1222,0.00,0.00,10
1067,0.39,0.39,0.0000,0.0000,0.00,0.00,10
1078,0.29,0.29,0.1222,0.1222,0.00,0.00,10
1089,0.19,0.19,0.1222,0.1222,0.00,0.00,10
1101,0.55,0.55,-0.1222,-0.1222,0.00,0.00,10
1113,0.34,0.34,0.2444,0.2444,0.00,0.00,10
1124,-0.57,-0.57,0.0000,0.0000,0.00,0.00,10
1136,-0.66,-0.66,-0.1222,-0.1222,0.00,0.00,10
1147,-0.20,-0.20,-0.2444,-0.2444,0.00,0.00,10
1159,0.27,0.27,0.1222,0.1222,0.00,0.00,10
1171,0.85,0.85,0.0000,0.0000,0.00,0.00,10
1182,0.70,0.70,0.0000,0.0000,0.00,0.00,10
1193,0.33,0.33,0.2444,0.2444,0.00,0.00,10
1206,0.10,0.10,-0.2444,-0.2444,0.00,0.00,10
1217,0.05,0.05,0.0000,0.0000,0.00,0.00,10
1228,0.62,0.62,0.2444,0.2444,0.00,0.00,10
1241,0.43,0.43,0.0000,0.0000,0.00,0.00,10
1252,0.12,0.12,0.1222,0.1222,0.00,0.00,10
1263,0.29,0.29,0.0000,0.0000,0.00,0.00,10
1275,0.63,0.63,-0.1222,-0.1222,0.00,0.00,10
1287,1.00,1.00,0.2444,0.2444,0.00,0.00,10
1299,0.26,0.26,0.0000,0.0000,0.00,0.00,10
1310,-0.37,-0.37,0.1222,0.1222,0.00,0.00,10
1321,-0.59,-0.59,0.1222,0.1222,0.00,0.00,10
1334,-0.51,-0.51,0.1222,0.1222,0.00,0.00,10
